timescrape,longitude,latitude,timescrape,longitude,latitude
1507231727,113.617651,23.013928,17.0,0.0018319999999931724,-0.0008830000000017435
1507231741,113.619444,23.013045,14.0,0.0017930000000063728,-0.0008829999999981908
1507231754,113.62122,23.01218,13.0,0.0017759999999924503,-0.0008650000000010039
1507231767,113.623053,23.011263,13.0,0.0018330000000048585,-0.0009170000000011669
1507231783,113.624838,23.010314,16.0,0.0017849999999981492,-0.0009489999999985343
1507231932,113.627519,23.00895,149.0,0.0026810000000097034,-0.0013640000000023633
1507231949,113.629337,23.008017,17.0,0.0018180000000000973,-0.0009329999999998506
1507231964,113.631274,23.007187,15.0,0.0019369999999980791,-0.0008300000000005525
1507231980,113.633307,23.006505,16.0,0.002032999999997287,-0.000681999999997629
1507231996,113.635325,23.005823,16.0,0.0020179999999925258,-0.0006820000000011817
1507232012,113.637327,23.005125,16.0,0.0020020000000045,-0.0006979999999998654
1507232029,113.639265,23.004478,17.0,0.0019379999999955544,-0.0006470000000007303
1507232051,113.641355,23.004281,22.0,0.002090000000009695,-0.00019700000000000273
1507232069,113.643437,23.004568,18.0,0.0020820000000014716,0.00028700000000014825
1507232088,113.645408,23.00392,19.0,0.0019709999999975025,-0.0006479999999982056
1507232104,113.646921,23.002522,16.0,0.0015130000000027621,-0.0013980000000017867
1507232121,113.64789,23.000957,17.0,0.0009689999999977772,-0.0015649999999993724
1507232137,113.647354,22.999155,16.0,-0.0005359999999967613,-0.0018020000000014136
1507232157,113.645904,22.997734,20.0,-0.0014500000000055024,-0.001420999999997008
1507232171,113.64435,22.99655,14.0,-0.001553999999998723,-0.0011840000000020723
1507232186,113.642636,22.995347,15.0,-0.0017140000000068767,-0.0012030000000002872
1507232202,113.640946,22.99416,16.0,-0.0016899999999964166,-0.0011869999999980507
1507232222,113.639512,22.992741,20.0,-0.001434000000003266,-0.0014190000000020575
1507232241,113.638848,22.990855,19.0,-0.000664000000000442,-0.001885999999998944
1507232257,113.638231,22.988988,16.0,-0.0006169999999912079,-0.0018670000000007292
1507232273,113.63759,22.987052,16.0,-0.000641000000001668,-0.001936000000000604
1507232289,113.636957,22.9851,16.0,-0.0006330000000076552,-0.0019519999999992876
1507232305,113.636277,22.983299,16.0,-0.0006799999999884676,-0.0018010000000003856
1507232322,113.635356,22.981513,17.0,-0.0009210000000052787,-0.0017859999999991771
1507232338,113.634427,22.979711,16.0,-0.0009289999999992915,-0.0018019999999978609
1507232352,113.633562,22.977961,14.0,-0.0008650000000045566,-0.0017500000000012506
1507232421,113.63345,22.976374,69.0,-0.00011200000000144428,-0.0015870000000006712
1507232443,113.635395,22.97576,22.0,0.0019450000000063028,-0.0006139999999987822
1507232465,113.637365,22.975197,22.0,0.0019700000000000273,-0.0005629999999996471
1507232488,113.639407,22.974565,23.0,0.002042000000002986,-0.0006320000000030745
1507232507,113.641065,22.973451,19.0,0.0016579999999919437,-0.001113999999997617
1507232533,113.64225,22.971934,26.0,0.001185000000006653,-0.0015169999999997685
1507232557,113.641665,22.97,24.0,-0.0005850000000009459,-0.0019340000000021007
1507232578,113.641096,22.968167,21.0,-0.0005689999999987094,-0.001832999999997753
1507232601,113.640496,22.966263,23.0,-0.0006000000000057071,-0.0019039999999996837
1507232628,113.639927,22.964379,27.0,-0.0005689999999987094,-0.0018840000000004409
1507232748,113.639711,22.964195,120.0,-0.0002159999999946649,-0.00018400000000085015
1507232819,113.639615,22.964177,71.0,-9.599999999920783e-05,-1.8000000000739647e-05
1507232819,113.639591,22.964177,0.0,-2.40000000104601e-05,0.0
1507232819,113.639615,22.964177,0.0,2.40000000104601e-05,0.0
1507232819,113.639591,22.964177,0.0,-2.40000000104601e-05,0.0
1507232868,113.639182,22.963776,49.0,-0.0004089999999905558,-0.0004010000000000957
1507232988,113.639262,22.963544,120.0,7.999999999697138e-05,-0.00023200000000045407
1507233108,113.639262,22.963544,120.0,0.0,0.0
1507233171,113.639262,22.963544,63.0,0.0,0.0
1507233171,113.639262,22.963544,0.0,0.0,0.0
1507233228,113.639262,22.963544,57.0,0.0,0.0
1507233248,113.639262,22.963544,20.0,0.0,0.0
1507233367,113.639262,22.963544,119.0,0.0,0.0
1507233486,113.639262,22.963544,119.0,0.0,0.0
1507233607,113.639262,22.963544,121.0,0.0,0.0
1507233726,113.639262,22.963544,119.0,0.0,0.0
1507233846,113.639262,22.963544,120.0,0.0,0.0
1507260736,113.639262,22.963544,26890.0,0.0,0.0
1507260791,113.639094,22.965261,55.0,-0.00016800000000216642,0.0017170000000028551
1507260911,113.639551,22.964095,120.0,0.00045699999999726515,-0.0011660000000013326
1507260962,113.639551,22.964095,51.0,0.0,0.0
1507260962,113.639551,22.964095,0.0,0.0,0.0
1507261029,113.639551,22.964095,67.0,0.0,0.0
1507261149,113.639366,22.964261,120.0,-0.0001850000000018781,0.0001660000000001105
1507261269,113.639166,22.96386,120.0,-0.00019999999999242846,-0.0004010000000000957
1507261388,113.639166,22.96386,119.0,0.0,0.0
1507261508,113.639126,22.963794,120.0,-3.999999999848569e-05,-6.600000000034356e-05
1507261628,113.639126,22.963794,120.0,0.0,0.0
1507261646,113.639126,22.963794,18.0,0.0,0.0
1507261646,113.639126,22.963794,0.0,0.0,0.0
1507261674,113.639126,22.963794,28.0,0.0,0.0
1507261795,113.639879,22.964729,121.0,0.0007529999999889014,0.0009349999999983538
1507261914,113.639879,22.964729,119.0,0.0,0.0
1507262034,113.639879,22.964729,120.0,0.0,0.0
